Comment,Designator,Footprint,LCSC Part #
NH-B1010RGBT-HF,U$1,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$2,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$3,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$4,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$5,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$6,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$7,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$8,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$9,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$10,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$11,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$12,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$13,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$14,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$15,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$16,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$17,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$18,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$19,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
NH-B1010RGBT-HF,U$20,LED-ARRAY-SMD_4P-L1.0-W1.0-TR_NH-B1010RGBT, C2874113
